,s_video_id,e_crf,e_width,e_height,e_codec_profile,e_codec_level,t_average_bitrate,t_average_vmaf
0,418,18,960,540,main,31,3313,86.435099
1,418,18,1280,720,main,31,5359,92.79183
2,418,18,1920,1080,high,40,10548,98.482772
3,418,18,640,360,main,30,1728,70.231396
4,418,20,1920,1080,high,40,8302,97.695917
5,418,18,768,432,main,30,2269,78.877983
6,418,18,416,234,main,13,863,41.308676
7,418,20,1280,720,main,31,4052,90.936701
8,418,20,960,540,main,31,2530,84.174262
9,418,20,640,360,main,30,1323,67.292727
10,418,20,768,432,main,30,1732,76.262335
11,418,20,416,234,main,13,666,38.516177
12,418,22,1280,720,main,31,3070,88.591906
13,418,22,960,540,main,31,1931,81.370898
14,418,22,640,360,main,30,1016,63.8118
15,418,22,768,432,main,30,1326,73.014865
16,418,22,1920,1080,high,40,6515,96.376794
17,418,22,416,234,main,13,512,35.205753
18,418,24,1920,1080,high,40,4968,94.334394
19,418,24,1280,720,main,31,2333,85.698812
20,418,24,960,540,main,31,1480,77.929821
21,418,26,1920,1080,high,40,3800,91.726313
22,418,24,768,432,main,30,1015,69.117289
23,418,24,640,360,main,30,778,59.694809
24,418,24,416,234,main,13,393,31.452331
25,418,26,1280,720,main,31,1787,82.190513
26,418,26,640,360,main,30,599,54.894845
27,418,26,768,432,main,30,779,64.559465
28,418,26,416,234,main,13,301,27.391052
29,418,26,960,540,main,31,1138,73.80082
30,418,28,1920,1080,high,40,2890,88.619295
31,418,28,1280,720,main,31,1380,77.842421
32,418,28,640,360,main,30,462,49.581856
33,418,28,960,540,main,31,882,68.8926
34,418,28,768,432,main,30,600,59.144399
35,418,28,416,234,main,13,231,23.225649
36,418,30,1920,1080,high,40,2198,84.828129
37,418,30,1280,720,main,31,1072,72.866171
38,418,30,960,540,main,31,686,63.312082
39,418,30,640,360,main,30,358,44.078939
40,418,30,768,432,main,30,466,53.444994
41,418,30,416,234,main,13,178,18.99323
42,418,35,1920,1080,high,40,1196,72.324642
43,418,35,960,540,main,31,373,47.452826
44,418,35,1280,720,main,31,588,57.585319
45,418,35,640,360,main,30,195,29.756631
46,418,35,768,432,main,30,255,38.063954
47,418,40,1920,1080,high,40,686,55.768361
48,418,35,416,234,main,13,96,9.732036
49,418,40,1280,720,main,31,338,40.080686
50,418,40,960,540,main,31,213,30.644146
51,418,40,640,360,main,30,110,16.034912
52,418,40,768,432,main,30,146,22.745164
53,418,40,416,234,main,13,54,2.777431
54,418,45,1920,1080,high,40,405,36.918686
55,418,45,1280,720,main,31,198,22.347864
56,418,45,640,360,main,30,63,4.985737
57,418,45,960,540,main,31,125,14.695744
58,418,45,768,432,main,30,84,8.483204
59,418,45,416,234,main,13,31,0.245442
60,418,50,1920,1080,high,40,236,18.396912
61,418,50,960,540,main,31,69,2.889353
62,418,50,640,360,main,30,33,0.576131
63,418,50,1280,720,main,31,112,7.192287
64,418,50,768,432,main,30,46,1.13045
65,418,50,416,234,main,13,16,0.10423
66,418,55,1920,1080,high,40,213,15.306552
67,418,55,640,360,main,30,30,0.475224
68,418,55,960,540,main,31,60,1.677358
69,418,55,1280,720,main,31,100,5.214982
70,418,55,768,432,main,30,40,0.771762
71,418,55,416,234,main,13,15,0.070312
72,419,18,640,360,main,30,1194,69.725461
73,419,18,960,540,main,31,2348,85.02142
74,419,18,1920,1080,high,40,7672,97.459722
75,419,18,1280,720,main,31,3766,91.374221
76,419,18,768,432,main,30,1589,77.747768
77,419,20,1920,1080,high,40,5866,96.855012
