Video ID;Bitrate (kbps);Resolution;VMAF (Predicted)
418;375;768x432;54.538204
418;560;960x540;65.35701
418;750;768x432;71.3492
418;1050;1280x720;79.792534
418;1750;1280x720;87.496376
418;2350;1920x1080;91.15331
418;3000;1920x1080;93.30451
418;4300;1920x1080;93.53765
418;5800;1920x1080;97.47135
419;235;768x432;58.373714
419;375;960x540;69.270935
419;560;960x540;72.20972
419;750;1280x720;80.47094
419;1050;1920x1080;88.328186
419;1750;1920x1080;89.62809
419;2350;1920x1080;90.88335
419;3000;1920x1080;93.72114
419;4300;1920x1080;93.834435
419;5800;1920x1080;95.61126
420;235;416x234;36.085583
420;375;416x234;36.085583
420;560;640x360;57.869656
420;750;640x360;62.90543
420;1050;960x540;78.7917
420;1750;960x540;84.562645
420;2350;1280x720;87.8397
420;3000;1280x720;89.26623
420;4300;1920x1080;93.6204
420;5800;1920x1080;97.83608
422;235;960x540;74.160164
422;375;1280x720;78.281006
422;560;1280x720;80.43633
422;750;1920x1080;87.914825
422;1050;1920x1080;91.47463
422;1750;1920x1080;90.39724
422;2350;1280x720;89.456795
422;3000;1920x1080;93.938896
422;4300;1920x1080;94.10473
422;5800;1920x1080;94.53452
489;235;768x432;34.49247
489;375;640x360;46.63328
489;560;768x432;52.712917
489;750;960x540;63.973694
489;1050;960x540;73.761406
489;1750;960x540;80.51461
489;2350;960x540;85.73905
489;3000;1920x1080;92.59861
489;4300;1920x1080;93.29008
489;5800;1920x1080;97.44954
493;235;640x360;49.088905
493;375;640x360;55.33003
493;560;768x432;67.535324
493;750;960x540;76.166115
493;1050;960x540;82.784454
493;1750;1920x1080;87.06497
493;2350;1920x1080;90.223236
493;3000;1920x1080;93.473045
493;4300;1920x1080;93.698586
493;5800;1920x1080;96.834526
494;235;640x360;28.351507
494;375;1280x720;35.663025
494;560;640x360;47.22465
494;750;768x432;52.9609
494;1050;960x540;68.00176
494;1750;640x360;76.22134
494;2350;960x540;81.09855
494;3000;1920x1080;88.10706
494;4300;960x540;92.99262
494;5800;1920x1080;98.0433
498;235;640x360;28.509079
498;375;1280x720;35.66322
498;560;640x360;47.133724
498;750;640x360;59.065754
498;1050;960x540;67.99738
498;1750;768x432;78.665016
498;2350;768x432;82.7468
498;3000;1920x1080;88.15445
498;4300;960x540;92.8763
498;5800;1920x1080;97.98083
499;235;640x360;57.473072
499;375;960x540;67.73196
499;560;960x540;71.47785
499;750;1280x720;76.40183
499;1050;1280x720;82.4246
499;1750;1920x1080;89.72325
499;2350;1920x1080;92.99535
499;3000;1920x1080;93.51591
499;4300;1920x1080;93.69169
499;5800;1920x1080;96.81874
500;235;640x360;58.066807
500;375;960x540;67.9886
500;560;768x432;72.46862
500;750;1280x720;76.65511
500;1050;1280x720;86.68453
500;1750;1920x1080;89.730995
500;2350;1920x1080;93.02202
500;3000;1920x1080;93.56458
500;4300;1920x1080;93.69193
500;5800;1920x1080;96.31389
503;235;768x432;34.327633
503;375;640x360;47.186146
503;560;640x360;53.250378
503;750;768x432;66.35788
503;1050;768x432;76.26595
503;1750;960x540;85.00608
503;2350;1920x1080;88.545616
503;3000;1920x1080;92.33427
503;4300;1920x1080;93.54998
503;5800;1920x1080;96.943665
506;235;960x540;50.32788
506;375;640x360;57.916065
506;560;960x540;67.8576
506;750;960x540;72.05053
506;1050;1280x720;81.3095
506;1750;1920x1080;87.18879
506;2350;1920x1080;90.31731
506;3000;1920x1080;93.344864
506;4300;1920x1080;93.54182
506;5800;1920x1080;97.726395
507;235;1280x720;40.24287
507;375;640x360;53.01569
507;560;768x432;61.817616
507;750;768x432;66.571495
507;1050;1280x720;78.1427
507;1750;960x540;84.97544
507;2350;1280x720;87.80491
507;3000;1920x1080;92.37151
507;4300;1920x1080;93.290054
507;5800;1920x1080;97.694115
513;235;768x432;34.422607
513;375;640x360;47.034737
513;560;640x360;52.92294
513;750;640x360;64.60198
513;1050;640x360;74.01153
513;1750;768x432;80.870575
513;2350;960x540;85.55755
513;3000;1920x1080;92.52988
513;4300;1920x1080;93.260445
513;5800;1920x1080;97.20898
514;235;768x432;34.141228
514;375;640x360;47.48012
514;560;640x360;53.06571
514;750;960x540;63.871037
514;1050;960x540;73.99143
514;1750;960x540;80.67269
514;2350;1280x720;83.130394
514;3000;1920x1080;88.95191
514;4300;1920x1080;93.27522
514;5800;1920x1080;97.10607
515;235;768x432;34.27738
515;375;640x360;46.874554
515;560;640x360;52.52879
515;750;960x540;63.655552
515;1050;960x540;73.84805
515;1750;960x540;80.46366
515;2350;960x540;85.61509
515;3000;1920x1080;92.57316
515;4300;1920x1080;93.27073
515;5800;1920x1080;97.288216
516;235;768x432;34.042076
516;375;640x360;47.382557
516;560;640x360;52.803967
516;750;960x540;63.785954
516;1050;1280x720;72.22074
516;1750;960x540;80.709404
516;2350;1280x720;83.13944
516;3000;1920x1080;88.95423
516;4300;1920x1080;93.27958
516;5800;1920x1080;97.14877
517;235;768x432;22.105644
517;375;640x360;27.384676
517;560;768x432;35.41842
517;750;960x540;47.443478
517;1050;640x360;60.35589
517;1750;768x432;69.34103
517;2350;768x432;76.77001
517;3000;960x540;83.70529
517;4300;960x540;89.52245
517;5800;1920x1080;99.92919
521;235;768x432;35.685078
521;375;640x360;46.575527
521;560;768x432;53.59677
521;750;768x432;65.7068
521;1050;768x432;76.12955
521;1750;768x432;80.317314
521;2350;960x540;85.26026
521;3000;1920x1080;92.60407
521;4300;1920x1080;93.325264
521;5800;1920x1080;97.8191
525;235;640x360;28.940327
525;375;1280x720;35.423218
525;560;640x360;47.39059
525;750;768x432;61.700157
525;1050;768x432;71.51005
525;1750;960x540;80.61849
525;2350;960x540;85.759575
525;3000;1920x1080;92.47933
